f si sl ac k2
1 10.0 2.663491 7.09407 0.728191
2 9.0 3.331923 7.110235 0.731195
3 7.0 2.141968 7.357183 0.729674
4 11.0 2.874579 7.295034 0.727393
5 10.0 3.165918 7.053439 0.728603
6 6.0 3.421267 7.163272 0.731453
7 8.0 2.439895 7.234994 0.731087
8 11.0 3.179081 7.706797 0.725448
9 10.0 3.154218 7.557442 0.723918
10 11.0 2.907376 7.185427 0.723662
11 9.0 2.64777 7.310373 0.727367
12 12.0 2.789522 7.45039 0.726522
13 10.0 2.847905 7.301841 0.730438
14 9.0 2.82176 7.751209 0.725475
15 10.0 3.025845 7.806643 0.730264
16 10.0 3.268869 7.4765 0.728309
17 7.0 3.559753 7.161043 0.732821
18 7.0 2.433725 7.190178 0.733178
19 8.0 3.26992 6.940971 0.731292
20 10.0 3.043025 7.030647 0.734344
21 8.0 3.285803 6.966162 0.731594
22 9.0 3.086195 6.727024 0.734461
23 10.0 2.861011 6.804838 0.741188
24 12.0 2.834912 6.529268 0.736536
25 6.0 3.006544 6.974816 0.726401
26 11.0 3.00001 7.052491 0.732746
27 7.0 3.135373 7.238864 0.729594
28 9.0 2.541099 7.011511 0.731126
29 9.0 2.397654 7.177044 0.730729
30 8.0 2.468184 6.819743 0.72562
31 7.0 2.851696 6.909178 0.729502
32 7.0 3.050969 7.094301 0.727562
33 7.0 3.365129 7.170812 0.727056
34 11.0 2.909966 7.404667 0.728234
35 7.0 2.375618 8.105953 0.720634
36 8.0 2.52456 8.019462 0.722759
37 9.0 2.160366 7.708951 0.72891
38 10.0 3.334537 7.579774 0.727666
39 11.0 3.094911 7.758869 0.727552
40 9.0 2.414118 7.376108 0.725785
41 11.0 2.656655 7.274047 0.7228
42 8.0 2.628551 7.143114 0.723979
43 9.0 2.928501 7.18721 0.726931
44 7.0 2.83632 7.31621 0.72547
45 6.0 2.779716 7.130113 0.732223
46 6.0 3.23986 7.261935 0.72858
47 6.0 2.520393 7.357455 0.728102
48 7.0 3.085688 7.536738 0.732837
49 4.0 2.87805 7.407572 0.732052
50 9.0 3.306665 7.552345 0.733991
51 6.0 2.809435 9.313351 0.675439
52 4.0 3.256126 9.190061 0.68004
53 6.0 2.86818 9.197233 0.676292
54 5.0 2.28221 7.247158 0.737626
55 5.0 2.599291 7.256075 0.737498
56 11.0 2.755353 7.032313 0.740484
57 8.0 3.14437 7.344757 0.736144
58 9.0 3.270168 9.203164 0.673721
59 5.0 3.231393 9.27385 0.670592
60 7.0 3.226853 9.343534 0.668031
61 4.0 3.226557 7.2995 0.741391
62 5.0 2.95297 7.411614 0.732996
63 6.0 2.436393 7.305726 0.733712
64 6.0 2.85331 7.03656 0.73739
65 8.0 3.13247 7.060636 0.742436
66 6.0 2.957688 7.166737 0.739239
67 9.0 4.16463 7.21887 0.730625
68 7.0 3.049804 8.801928 0.675055
69 7.0 2.686989 8.841386 0.679737
70 6.0 3.354549 7.18712 0.736945
71 11.0 3.035856 7.378967 0.732547
72 6.0 2.85347 7.378767 0.73378
73 6.0 2.459801 7.304572 0.732785
74 6.0 4.160003 7.383677 0.732421
75 4.0 3.144711 9.234172 0.664019
76 7.0 3.425848 9.030313 0.677845
77 6.0 2.567412 8.988995 0.680129
78 5.0 3.282556 9.084278 0.675024
79 8.0 3.31001 9.191614 0.671482
80 9.0 3.146106 9.296742 0.665409
81 10.0 2.821936 9.489871 0.659777
82 6.0 3.667001 9.318054 0.665857
83 9.0 2.866625 9.670712 0.657677
84 5.0 3.272536 9.201692 0.662638
85 6.0 2.900829 9.149545 0.675143
86 9.0 2.784463 9.264816 0.66455
87 7.0 3.458853 9.203318 0.668508
88 9.0 2.66858 9.129787 0.676428
89 9.0 2.097375 7.442516 0.73884
90 8.0 2.811857 9.154306 0.6782
91 10.0 2.716728 9.150317 0.68123
92 8.0 2.479084 9.133697 0.691283
93 8.0 2.890915 9.320628 0.67693
94 8.0 2.884787 9.203345 0.679927
95 7.0 2.505392 9.371964 0.676586
96 8.0 2.6159 9.506755 0.680628
97 7.0 2.819933 9.424444 0.683623
98 10.0 3.169101 9.444681 0.685511
99 9.0 2.986587 9.650196 0.680101
100 7.0 3.076386 9.545485 0.682073
101 7.0 2.715473 9.640119 0.681013
102 9.0 3.099061 9.658987 0.676636
103 6.0 2.688211 9.667499 0.678049
104 7.0 2.949668 9.755168 0.672033
105 8.0 2.806531 9.665022 0.671724
106 9.0 2.302099 9.456558 0.681526
107 7.0 3.117105 9.3742 0.682297
108 9.0 2.712263 9.47438 0.682597
109 8.0 2.861406 9.604605 0.673443
110 7.0 2.884305 9.599559 0.670353
111 6.0 3.184529 9.703391 0.667508
112 6.0 3.014485 9.730287 0.665036
113 9.0 2.416225 9.530762 0.675169
114 7.0 3.091289 9.565633 0.66448
115 8.0 3.273675 9.412147 0.66912
116 6.0 2.762787 9.433577 0.666632
117 6.0 2.403753 9.405159 0.666704
118 6.0 2.731171 9.576307 0.665782
119 6.0 3.11507 9.750027 0.662464
120 8.0 2.930608 9.582457 0.666706
121 8.0 3.631799 9.696323 0.669741
122 8.0 3.160677 9.632761 0.673983
123 8.0 2.929881 9.601426 0.675022
124 9.0 3.071995 9.629401 0.671533
125 6.0 2.609675 9.65352 0.666615
126 4.0 2.781178 9.409622 0.668892
127 7.0 3.095778 9.421457 0.659272
128 8.0 3.042426 9.379413 0.666466
129 8.0 2.859932 9.400168 0.661922
130 9.0 2.96193 9.336896 0.663907
131 4.0 3.378341 9.465781 0.664711
132 5.0 3.069135 9.434229 0.665657
133 6.0 2.376359 9.470039 0.666804
134 5.0 2.735527 9.427403 0.670503
135 5.0 2.790888 9.335905 0.672482
136 7.0 3.07207 9.324431 0.667781
137 5.0 2.660476 9.407542 0.662726
138 7.0 3.070689 9.215983 0.660024
139 4.0 2.669665 9.281256 0.664405
140 7.0 3.425708 8.990386 0.666797
141 2.0 3.456921 9.073221 0.666453
142 6.0 2.929275 9.089568 0.664347
143 5.0 2.331954 9.032853 0.67009
144 6.0 2.657837 9.162123 0.667099
145 5.0 2.919119 9.113667 0.664417
146 4.0 2.81421 9.334734 0.662861
147 3.0 2.354039 9.355631 0.655282
148 5.0 2.792169 9.265723 0.657042
149 3.0 2.788598 9.115342 0.659059
150 5.0 2.281182 9.094923 0.667383
151 5.0 2.505485 9.088017 0.661692
152 7.0 2.18689 9.086324 0.656963
153 3.0 2.95021 9.124289 0.66195
154 9.0 2.52449 9.131173 0.659182
155 6.0 2.926019 9.22798 0.662506
156 6.0 2.596491 9.307427 0.658021
157 6.0 2.389283 9.255116 0.658059
158 5.0 3.186368 9.1742 0.66248
159 8.0 2.325208 9.305767 0.655884
160 8.0 2.300223 9.428209 0.657479
161 8.0 2.823718 9.26351 0.663475
162 7.0 2.394423 9.276418 0.664848
163 7.0 2.903291 9.002345 0.666299
164 7.0 2.856975 9.151462 0.657335
165 6.0 2.475327 9.250929 0.662439
166 7.0 2.488547 9.262043 0.661941
167 8.0 2.984554 9.353733 0.655475
168 8.0 3.036836 9.297755 0.654173
169 8.0 2.504865 9.352487 0.65269
170 3.0 2.988968 9.279674 0.655039
171 9.0 2.645961 9.580448 0.652002
172 8.0 2.244067 9.403363 0.651818
173 7.0 2.101178 9.618657 0.650445
174 8.0 2.611409 9.524438 0.65393
175 6.0 3.024579 9.504648 0.646597
176 11.0 2.599595 9.477519 0.655168
177 6.0 2.1422 9.556811 0.650014
178 6.0 2.502089 9.74437 0.641036
179 8.0 2.872948 9.626943 0.643243
180 9.0 2.818127 9.655684 0.643062
181 7.0 3.463513 9.819713 0.643492
182 8.0 3.05159 9.814661 0.642165
183 8.0 2.69121 10.059669 0.636369
184 8.0 2.658023 9.899709 0.640318
185 8.0 3.391823 9.75678 0.641238
186 7.0 2.585518 9.633738 0.641947
187 6.0 3.240903 9.654804 0.646239
188 8.0 2.655815 9.910074 0.637607
189 7.0 2.817075 9.954987 0.637693
190 6.0 3.264657 10.038473 0.634849
191 6.0 2.605679 9.878652 0.634963
192 7.0 3.246267 9.762823 0.639113
193 7.0 3.357393 9.629705 0.639593
194 7.0 3.080635 9.536142 0.643659
195 7.0 2.455215 9.802096 0.642345
196 4.0 3.132631 9.64767 0.645456
197 7.0 2.618745 9.932704 0.633546
198 3.0 2.758732 9.665004 0.638488
199 3.0 2.763131 9.671031 0.642624
200 4.0 3.182158 9.709046 0.642269
201 7.0 3.449312 9.896241 0.640664
202 8.0 3.034755 9.770586 0.641989
203 7.0 2.991043 9.954253 0.639123
204 6.0 3.061869 10.076886 0.636741
205 7.0 3.449239 10.06372 0.632355
206 7.0 3.251153 10.179011 0.633409
207 4.0 3.121402 9.913613 0.640629
208 6.0 2.162294 9.785544 0.641033
209 8.0 3.062229 10.058253 0.636211
210 8.0 2.806811 9.837462 0.639562
211 8.0 2.948167 9.705717 0.644704
212 7.0 2.831894 9.895855 0.640132
213 6.0 2.834884 9.770221 0.643418
214 6.0 2.986641 10.013101 0.639082
215 8.0 3.287777 9.964614 0.639348
216 6.0 2.659116 10.081349 0.641165
217 5.0 2.607084 10.188042 0.635362
218 6.0 2.660524 9.957892 0.640513
219 7.0 2.788612 10.066688 0.630724
220 7.0 3.50884 9.926589 0.635916
221 6.0 2.486062 9.781273 0.646616
222 5.0 3.065864 9.786739 0.649551
223 8.0 2.938113 9.70486 0.648344
224 7.0 2.947493 9.940269 0.637953
225 6.0 3.037019 10.048674 0.640857
226 9.0 3.216583 9.926434 0.644335
227 5.0 3.074504 9.869539 0.641665
228 8.0 2.709635 8.455926 0.72082
229 7.0 3.61946 9.847175 0.646377
230 4.0 3.155381 8.698338 0.722201
231 6.0 3.336287 8.693982 0.71536
232 6.0 3.576628 8.907598 0.712135
233 5.0 3.70111 8.832342 0.717719
234 5.0 3.465158 8.912847 0.714345
235 3.0 2.808248 9.040964 0.715524
236 6.0 2.962126 9.215336 0.718066
237 4.0 2.797154 9.217764 0.720078
238 5.0 3.084058 10.308592 0.639743
239 4.0 2.993835 10.237888 0.641698
240 4.0 2.866299 10.207473 0.642607
241 5.0 2.860277 10.212303 0.640915
242 7.0 2.786142 10.306945 0.634898
243 6.0 2.603006 10.426509 0.636734
244 5.0 2.349442 10.48759 0.628548
245 6.0 3.178199 10.451399 0.63443
246 6.0 2.495509 10.175418 0.643788
247 5.0 1.88157 8.934586 0.72735
248 4.0 2.272029 8.715047 0.725923
249 4.0 2.331648 8.642958 0.722906
250 4.0 3.023067 8.501708 0.729593
251 2.0 3.059843 8.439192 0.724765
252 5.0 1.849615 8.310298 0.726467
253 6.0 2.267509 8.491046 0.727694
254 6.0 2.399454 8.208687 0.721892
255 7.0 2.59179 7.573276 0.726804
256 8.0 2.182092 7.46367 0.727366
257 4.0 2.030546 7.667084 0.727114
258 3.0 2.261478 7.758369 0.726754
259 3.0 2.088059 7.702227 0.725562
260 3.0 2.625117 7.733675 0.722472
261 4.0 2.254875 7.843024 0.722048
262 3.0 1.878348 8.037937 0.727028
263 6.0 1.807011 8.168621 0.726708
264 8.0 2.241968 8.172768 0.727219
265 7.0 2.029973 8.228705 0.724401
266 5.0 2.018559 8.568785 0.72574
267 1.0 2.249497 8.605914 0.720689
268 7.0 2.459142 8.444804 0.72043
269 6.0 2.633892 8.413388 0.7282
270 5.0 2.030644 8.139237 0.7274
271 5.0 2.77941 8.376444 0.726803
272 6.0 2.495057 7.985086 0.73306
273 10.0 2.241206 7.842093 0.736033
274 9.0 2.000392 7.910391 0.735735
275 10.0 2.247646 7.936464 0.733377
276 13.0 2.064446 7.947196 0.737091
277 9.0 1.916974 7.833963 0.739518
278 11.0 2.366896 7.966711 0.734147
279 7.0 2.214981 7.911168 0.731054
280 9.0 2.839422 8.151611 0.732691
281 6.0 2.479456 8.479896 0.734186
282 9.0 2.681553 8.485827 0.725608
283 9.0 2.593458 8.419978 0.727879
284 7.0 2.666857 8.487556 0.722791
285 6.0 2.552888 8.374298 0.721101
286 6.0 3.013386 8.270536 0.729447
287 5.0 2.311187 8.374955 0.728375
288 8.0 2.02241 8.403579 0.720532
289 8.0 2.091156 8.343752 0.725815
